"[71, 60, 10, 139, 50, 216, 119, 43, 14, 75, 25, 24, 70, 50, 12, 100, 63, 40, 64, 56, 63, 1, 100, 3, 130, 100, 1, 12, 67, 15]","(True, '28분 43초')"
"[71, 33, 3, 66, 67, 3, 19, 67, 61, 9, -2, -2, 97, 61, 46, 47, 49, 152, 82, 65, 34, 157, 71, 28, 68, 54, 24, 78, 60, 25]","(False, '20분 46초')"
"[33, -2, -2, 121, -1, -1, 149, 53, 182, 120, 59, 41, 105, 50, 8, 47, 57, 42, 22, 44, 9, 153, 56, 272, 51, 59, 32, 107, 100, 2]","(False, '32분 20초')"
"[54, 53, 297, 64, 47, 47, 121, 58, 219, 8, 100, 1, 105, 86, 7, 85, 60, 10, 59, 0, 2, 139, 68, 66, 68, 57, 58, 78, 50, 8]","(False, '20분 23초')"
"[112, 51, 607, 99, 55, 49, 81, 50, 1203, 50, -1, -1, 97, 56, 52, 107, 57, 69, 91, 73, 15, 157, 51, 106, 51, 65, 74, 90, 71, 14]","(False, '26분 27초')"
"[141, 0, 1, 139, 55, 62, 55, 55, 38, 145, -2, -2, 88, 67, 6, 92, 60, 381, 64, 62, 60, 86, 50, 4, 68, 61, 90, 78, 56, 9]","(False, '26분 13초')"
"[58, -2, -2, 59, -2, -2, 31, 73, 71, 28, 67, 99, 80, 55, 181, 118, 100, 1, 95, 50, 10, 121, 33, 6, 50, 53, 53, 97, 82, 11]","(False, '32분 29초')"
"[33, 53, 36, 37, 43, 7, 1, 0, 1, 28, 69, 86, 108, 50, 38, 47, -2, -2, 82, 59, 29, 98, 0, 1, 8, 50, 2, 97, 63, 8]","(False, '23분 7초')"
"[98, -2, -2, 121, 54, 142, 118, 61, 56, 50, 48, 79, 80, 67, 6, 144, 39, 28, 138, -1, -1, 135, 100, 1, 134, 59, 27, 4, 56, 16]","(True, '27분 2초')"
"[38, 59, 54, 37, 67, 21, 2, 54, 13, 68, 100, 3, 108, 55, 191, 33, 69, 36, 26, 57, 119, 91, 60, 105, 75, 51, 901, 65, -2, -2]","(False, '26분 44초')"
"[69, 55, 398, 60, -2, -2, 98, 40, 5, 7, 65, 176, 12, 54, 135, 92, 54, 420, 37, 49, 85, 137, 63, 24, 103, 33, 9, 93, -2, -2]","(True, '20분 45초')"
"[46, -2, -2, 82, -2, -2, 10, 61, 23, 50, -1, -1, 80, -2, -2, 47, 37, 79, 144, -2, -2, 157, -2, -2, 28, -2, -2, 116, -2, -2]","(False, '22분 3초')"
"[46, -2, -2, 121, 33, 3, 137, 63, 24, 68, 55, 99, 78, 38, 13, 63, 39, 23, 66, 50, 6, 149, 72, 60, 24, -2, -2, 80, 48, 75]","(True, '30분 10초')"
"[142, 52, 106, 29, 54, 326, 63, 43, 14, 68, 45, 29, 78, 59, 133, 2, 47, 74, 83, 60, 15, 6, 52, 868, 28, 65, 62, 52, 54, 61]","(False, '23분 44초')"
"[141, 0, 1, 64, -2, -2, 32, 75, 4, 16, 50, 30, 52, 68, 19, 33, 43, 23, 139, 64, 14, 129, 82, 11, 28, 57, 230, 151, 32, 22]","(True, '17분 56초')"
"[38, 54, 69, 144, -1, -1, 11, 64, 11, 134, 75, 20, 90, 60, 324, 35, 75, 4, 121, 77, 13, 149, 56, 9, 50, 55, 42, 80, 73, 40]","(True, '29분 2초')"
"[36, -2, -2, 144, -1, -1, 141, -1, -1, 62, 54, 435, 116, -1, -1, 46, 59, 186, 38, -1, -1, 90, 56, 173, 68, 60, 57, 93, 49, 132]","(False, '28분 1초')"
"[47, -1, -1, 139, 52, 320, 53, 52, 641, 51, -2, -2, 80, 45, 76, 101, 100, 1, 37, 52, 161, 157, 47, 88, 48, 50, 6, 158, -2, -2]","(True, '36분 28초')"
"[100, 55, 788, 139, 45, 22, 137, 50, 32, 146, 52, 640, 90, 50, 2, 38, 66, 61, 60, 59, 232, 119, 44, 36, 62, 50, 4, 69, 57, 120]","(True, '20분 55초')"
"[61, 55, 365, 43, 50, 705, 2, 71, 14, 50, 38, 16, 52, 64, 14, 107, 60, 10, 82, 68, 19, 42, 58, 65, 68, 50, 16, 151, 56, 91]","(True, '21분 16초')"
"[42, -2, -2, 144, 50, 6, 25, 40, 20, 50, 64, 25, 80, 64, 61, 38, 61, 219, 59, 53, 332, 157, 47, 62, 24, 62, 98, 97, 63, 35]","(False, '28분 0초')"
"[128, 53, 101, 95, 56, 245, 63, 52, 25, 134, 57, 7, 64, -1, -1, 71, -1, -1, 37, 52, 157, 118, 51, 204, 103, -2, -2, 36, 67, 27]","(True, '24분 51초')"
"[35, 53, 113, 121, -2, -2, 91, -2, -2, 28, 43, 14, 151, -1, -1, 128, 49, 57, 152, 55, 33, 111, -1, -1, 48, -2, -2, 52, 54, 126]","(True, '18분 46초')"
"[58, 50, 32, 144, 50, 2, 137, 50, 72, 16, 48, 29, 70, 62, 13, 101, 64, 22, 64, 57, 171, 63, 50, 4, 120, 59, 81, 105, 0, 3]","(False, '25분 2초')"
"[42, 50, 2, 139, 53, 15, 25, 40, 20, 145, 63, 46, 107, 43, 14, 47, 60, 48, 83, 60, 15, 121, 33, 3, 50, 58, 36, 12, 54, 135]","(True, '33분 46초')"
"[23, 67, 6, 122, 60, 63, 11, 64, 11, 28, 78, 9, 52, 55, 29, 42, 44, 18, 64, 60, 103, 121, 71, 7, 50, 58, 64, 5, 50, 22]","(True, '36분 35초')"
"[89, 61, 155, 122, 50, 34, 157, -2, -2, 28, -2, -2, 101, 100, 1, 35, -2, -2, 144, -1, -1, 121, 33, 9, 155, 53, 190, 4, 50, 12]","(True, '17분 8초')"
"[38, 54, 46, 60, 65, 62, 153, 52, 231, 155, 56, 18, 52, 48, 52, 34, 59, 64, 39, 50, 2, 140, 100, 3, 28, -2, -2, 12, 67, 9]","(False, '26분 45초')"
"[42, -2, -2, 122, 50, 2, 3, 58, 406, 40, 60, 205, 4, 64, 66, 46, 77, 22, 95, 56, 518, 63, 20, 5, 51, 46, 37, 80, 54, 131]","(True, '29분 16초')"
"[89, 50, 34, 82, 57, 63, 91, 69, 36, 50, 53, 64, 52, 46, 129, 149, 60, 106, 144, 55, 83, 1, 69, 54, 28, 40, 10, 12, 63, 188]","(True, '29분 24초')"
"[149, 56, 100, 144, 50, 4, 2, 44, 36, 48, 40, 5, 101, 25, 4, 53, 52, 641, 139, 21, 19, 32, 40, 15, 50, 54, 52, 90, 55, 20]","(True, '26분 30초')"
