바텀 보면 승리,diamond 1,46,"[('nautilus', 54, 33, 28), ('leona', 73, 37, 14), ('karma', 50, 8, 8), ('ekko', 67, 2, 1), ('thresh', 67, 2, 1), ('galio', 100, 2, 0), ('blitzcrank', 50, 1, 1), ('morgana', 50, 1, 1), ('alistar', 100, 1, 0), ('rakan', 100, 1, 0), ('akali', 100, 1, 0), ('kennen', 100, 1, 0), ('leesin', 100, 1, 0), ('ahri', 100, 1, 0), ('ezreal', 0, 0, 1), ('tahmkench', 0, 0, 1), ('nidalee', 0, 0, 1), ('yasuo', 0, 0, 1), ('maokai', 0, 0, 1)]"
애플파이2,diamond 1,31,"[('leesin', 55, 21, 17), ('qiyana', 63, 19, 11), ('leblanc', 53, 16, 14), ('sylas', 52, 15, 14), ('nidalee', 52, 14, 13), ('akali', 55, 12, 10), ('hecarim', 57, 12, 9), ('yasuo', 50, 10, 10), ('ahri', 35, 7, 13), ('ryze', 56, 10, 8), ('viego', 47, 8, 9), ('viktor', 53, 8, 7), ('jayce', 71, 10, 4), ('graves', 36, 5, 9), ('renekton', 62, 8, 5), ('vex', 46, 6, 7), ('yone', 70, 7, 3), ('irelia', 78, 7, 2), ('talon', 56, 5, 4), ('volibear', 56, 5, 4), ('diana', 63, 5, 3), ('reksai', 43, 3, 4), ('xayah', 83, 5, 1), ('corki', 67, 4, 2), ('xinzhao', 67, 4, 2), ('ekko', 50, 3, 3), ('zed', 50, 3, 3), ('syndra', 17, 1, 5), ('aphelios', 0, 0, 6), ('lucian', 60, 3, 2), ('aatrox', 60, 3, 2), ('zoe', 40, 2, 3), ('galio', 40, 2, 3), ('kaisa', 20, 1, 4), ('karthus', 0, 0, 5), ('gragas', 75, 3, 1), ('thresh', 75, 3, 1), ('twistedfate', 75, 3, 1), ('kayn', 50, 2, 2), ('lissandra', 25, 1, 3), ('elise', 100, 3, 0), ('jarvaniv', 67, 2, 1), ('malphite', 33, 1, 2), ('taliyah', 33, 1, 2), ('ezreal', 33, 1, 2), ('blitzcrank', 33, 1, 2), ('tryndamere', 0, 0, 3), ('zac', 100, 2, 0), ('camille', 100, 2, 0), ('gwen', 50, 1, 1), ('gangplank', 50, 1, 1), ('monkeyking', 50, 1, 1), ('samira', 50, 1, 1), ('yuumi', 50, 1, 1), ('poppy', 50, 1, 1), ('nautilus', 50, 1, 1), ('lux', 100, 1, 0), ('morgana', 100, 1, 0), ('kassadin', 100, 1, 0), ('mordekaiser', 100, 1, 0), ('fiora', 100, 1, 0), ('caitlyn', 100, 1, 0), ('darius', 0, 0, 1), ('karma', 0, 0, 1), ('jhin', 0, 0, 1), ('akshan', 0, 0, 1), ('kindred', 0, 0, 1), ('nasus', 0, 0, 1), ('gnar', 0, 0, 1), ('sion', 0, 0, 1), ('kennen', 0, 0, 1), ('pantheon', 0, 0, 1)]"
아리는,diamond 1,32,"[('ahri', 56, 181, 140), ('thresh', 51, 78, 74), ('gragas', 49, 53, 55), ('morgana', 38, 5, 8), ('renekton', 17, 1, 5), ('nunu', 0, 0, 1)]"
qweasdqweadsasd,diamond 1,31,"[('leesin', 50, 6, 6), ('talon', 83, 5, 1), ('ahri', 50, 1, 1), ('zed', 50, 1, 1), ('khazix', 100, 1, 0), ('zoe', 100, 1, 0), ('vex', 100, 1, 0), ('vi', 0, 0, 1), ('sylas', 0, 0, 1), ('ezreal', 0, 0, 1), ('renekton', 0, 0, 1), ('akali', 0, 0, 1)]"
희망을버리지마라,diamond 1,100,"[('veigar', 81, 21, 5), ('nautilus', 70, 16, 7), ('zilean', 71, 12, 5), ('thresh', 36, 4, 7), ('senna', 36, 4, 7), ('lux', 33, 3, 6), ('blitzcrank', 88, 7, 1), ('pantheon', 63, 5, 3), ('jarvaniv', 33, 2, 4), ('renata', 60, 3, 2), ('bard', 20, 1, 4), ('vex', 75, 3, 1), ('ahri', 33, 1, 2), ('shen', 33, 1, 2), ('leona', 33, 1, 2), ('trundle', 100, 2, 0), ('alistar', 100, 2, 0), ('zyra', 100, 2, 0), ('amumu', 100, 2, 0), ('ashe', 100, 2, 0), ('karma', 50, 1, 1), ('leesin', 50, 1, 1), ('kaisa', 50, 1, 1), ('rakan', 100, 1, 0), ('samira', 100, 1, 0), ('syndra', 100, 1, 0), ('swain', 100, 1, 0), ('diana', 100, 1, 0), ('jayce', 100, 1, 0), ('xayah', 0, 0, 1), ('annie', 0, 0, 1), ('ezreal', 0, 0, 1), ('taliyah', 0, 0, 1), ('rumble', 0, 0, 1), ('sett', 0, 0, 1), ('rell', 0, 0, 1), ('leblanc', 0, 0, 1), ('yuumi', 0, 0, 1), ('camille', 0, 0, 1)]"
IAMdesperate,diamond 2,95,"[('katarina', 63, 46, 27), ('leesin', 42, 14, 19), ('hecarim', 30, 9, 21), ('viego', 43, 12, 16), ('irelia', 56, 15, 12), ('graves', 37, 7, 12), ('tryndamere', 78, 14, 4), ('leblanc', 63, 10, 6), ('vex', 43, 6, 8), ('yasuo', 54, 7, 6), ('qiyana', 54, 7, 6), ('nunu', 50, 6, 6), ('nidalee', 42, 5, 7), ('akali', 91, 10, 1), ('ekko', 55, 6, 5), ('twistedfate', 55, 6, 5), ('diana', 55, 6, 5), ('reksai', 45, 5, 6), ('jax', 50, 5, 5), ('fiora', 50, 5, 5), ('poppy', 50, 5, 5), ('jayce', 40, 4, 6), ('ahri', 40, 4, 6), ('yone', 33, 3, 6), ('kindred', 43, 3, 4), ('renekton', 67, 4, 2), ('samira', 50, 3, 3), ('elise', 60, 3, 2), ('zed', 40, 2, 3), ('kaisa', 40, 2, 3), ('sylas', 40, 2, 3), ('vayne', 75, 3, 1), ('khazix', 75, 3, 1), ('pantheon', 50, 2, 2), ('riven', 50, 2, 2), ('xinzhao', 50, 2, 2), ('nautilus', 50, 2, 2), ('zoe', 50, 2, 2), ('kayn', 50, 2, 2), ('talon', 25, 1, 3), ('cassiopeia', 25, 1, 3), ('akshan', 0, 0, 4), ('evelynn', 100, 3, 0), ('ezreal', 100, 3, 0), ('tristana', 67, 2, 1), ('volibear', 67, 2, 1), ('lucian', 33, 1, 2), ('ryze', 33, 1, 2), ('vladimir', 33, 1, 2), ('trundle', 33, 1, 2), ('lissandra', 33, 1, 2), ('blitzcrank', 0, 0, 3), ('yuumi', 0, 0, 3), ('zilean', 100, 2, 0), ('viktor', 100, 2, 0), ('sett', 100, 2, 0), ('zac', 50, 1, 1), ('syndra', 50, 1, 1), ('gwen', 0, 0, 2), ('kennen', 0, 0, 2), ('aatrox', 0, 0, 2), ('anivia', 0, 0, 2), ('nocturne', 0, 0, 2), ('karma', 100, 1, 0), ('gangplank', 100, 1, 0), ('jinx', 100, 1, 0), ('azir', 100, 1, 0), ('malphite', 100, 1, 0), ('lulu', 100, 1, 0), ('olaf', 100, 1, 0), ('jarvaniv', 0, 0, 1), ('kayle', 0, 0, 1), ('taliyah', 0, 0, 1), ('monkeyking', 0, 0, 1), ('masteryi', 0, 0, 1), ('galio', 0, 0, 1), ('rumble', 0, 0, 1), ('missfortune', 0, 0, 1)]"
Tae ven,diamond 1,31,"[('jayce', 65, 28, 15), ('akali', 53, 20, 18), ('fiora', 59, 19, 13), ('graves', 57, 12, 9), ('jax', 67, 10, 5), ('kennen', 67, 8, 4), ('viktor', 50, 5, 5), ('leesin', 22, 2, 7), ('nidalee', 71, 5, 2), ('irelia', 67, 4, 2), ('ryze', 67, 4, 2), ('riven', 60, 3, 2), ('camille', 60, 3, 2), ('lucian', 20, 1, 4), ('gnar', 50, 2, 2), ('yasuo', 100, 3, 0), ('aatrox', 33, 1, 2), ('jinx', 0, 0, 3), ('ezreal', 50, 1, 1), ('vladimir', 50, 1, 1), ('rumble', 50, 1, 1), ('jhin', 0, 0, 2), ('renekton', 0, 0, 2), ('sett', 0, 0, 2), ('ahri', 100, 1, 0), ('corki', 100, 1, 0), ('syndra', 100, 1, 0), ('azir', 100, 1, 0), ('xinzhao', 100, 1, 0), ('sylas', 100, 1, 0), ('elise', 100, 1, 0), ('vayne', 100, 1, 0), ('gangplank', 0, 0, 1), ('poppy', 0, 0, 1), ('tryndamere', 0, 0, 1), ('kayle', 0, 0, 1)]"
sun00,diamond 1,31,"[('twistedfate', 70, 39, 17), ('leblanc', 57, 8, 6), ('ahri', 58, 7, 5), ('viktor', 44, 4, 5), ('hecarim', 50, 4, 4), ('vex', 25, 2, 6), ('yone', 57, 4, 3), ('leesin', 67, 4, 2), ('diana', 75, 3, 1), ('ryze', 50, 2, 2), ('akali', 67, 2, 1), ('zed', 33, 1, 2), ('taliyah', 100, 2, 0), ('galio', 50, 1, 1), ('jinx', 50, 1, 1), ('graves', 50, 1, 1), ('sylas', 50, 1, 1), ('zoe', 0, 0, 2), ('viego', 0, 0, 2), ('kassadin', 0, 0, 2), ('vladimir', 100, 1, 0), ('yasuo', 100, 1, 0), ('nidalee', 100, 1, 0), ('ziggs', 0, 0, 1), ('qiyana', 0, 0, 1), ('ezreal', 0, 0, 1)]"
Sonaka,diamond 1,31,"[('soraka', 49, 158, 166), ('sona', 52, 88, 82), ('zilean', 0, 0, 1)]"
싸 쉬,diamond 1,31,"[('karma', 61, 19, 12), ('jhin', 71, 12, 5), ('lulu', 67, 6, 3), ('caitlyn', 44, 4, 5), ('varus', 44, 4, 5), ('jinx', 67, 4, 2), ('aphelios', 50, 3, 3), ('xinzhao', 80, 4, 1), ('xayah', 20, 1, 4), ('kaisa', 100, 4, 0), ('samira', 75, 3, 1), ('thresh', 25, 1, 3), ('syndra', 25, 1, 3), ('zeri', 25, 1, 3), ('yone', 25, 1, 3), ('senna', 100, 3, 0), ('ashe', 33, 1, 2), ('tristana', 33, 1, 2), ('taliyah', 100, 2, 0), ('jarvaniv', 100, 2, 0), ('ezreal', 50, 1, 1), ('hecarim', 50, 1, 1), ('nami', 50, 1, 1), ('trundle', 50, 1, 1), ('ryze', 50, 1, 1), ('lucian', 50, 1, 1), ('nidalee', 50, 1, 1), ('kalista', 50, 1, 1), ('irelia', 0, 0, 2), ('tryndamere', 0, 0, 2), ('jayce', 0, 0, 2), ('kayle', 100, 1, 0), ('diana', 100, 1, 0), ('ekko', 100, 1, 0), ('riven', 100, 1, 0), ('rengar', 100, 1, 0), ('ahri', 100, 1, 0), ('leesin', 100, 1, 0), ('talon', 100, 1, 0), ('graves', 100, 1, 0), ('zed', 100, 1, 0), ('viego', 0, 0, 1), ('kogmaw', 0, 0, 1), ('sion', 0, 0, 1), ('sona', 0, 0, 1), ('kayn', 0, 0, 1), ('yasuo', 0, 0, 1), ('neeko', 0, 0, 1), ('gwen', 0, 0, 1), ('leona', 0, 0, 1), ('corki', 0, 0, 1), ('yuumi', 0, 0, 1), ('akali', 0, 0, 1), ('camille', 0, 0, 1), ('orianna', 0, 0, 1)]"
